prot	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190808yix_HCCC_b5_14-HCCC_b5_14.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190808yix_HCCC_b5_15-HCCC_b5_15.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190809yix_HCCC_b6_7-HCCC_b6_7.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190809yix_HCCC_b6_8-HCCC_b6_8.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190810yix_HCCC_b7_7-HCCC_b7_7.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190810yix_HCCC_b7_8-HCCC_b7_8.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190811yix_HCCC_b8_5-HCCC_b8_5.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\1\D20190811yix_HCCC_b8_6-HCCC_b8_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190813yix_HCCC_b10_3-HCCC_b10_3.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190813yix_HCCC_b10_4-HCCC_b10_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190814yix_HCCC_b11_3-HCCC_b11_3.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190814yix_HCCC_b11_4-HCCC_b11_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190815yix_HCCC_b12_12-HCCC_b12_12.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190815yix_HCCC_b12_13-HCCC_b12_13.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190818yix_HCCC_b14_4-HCCC_b14_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190818yix_HCCC_b14_4_repA-HCCC_b14_4_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190829yix_HCCC_b23_8-HCCC_b23_8.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190830yix_HCCC_b24_3-HCCC_b24_3.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190830yix_HCCC_b24_4-HCCC_b24_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190830yix_HCCC_b24_4_repA-HCCC_b24_4_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\2\D20190830yix_HCCC_b24_5-HCCC_b24_5.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190822yix_HCCC_b17_11-HCCC_b17_11.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190822yix_HCCC_b17_12-HCCC_b17_12.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190822yix_HCCC_b17_5-HCCC_b17_5.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190822yix_HCCC_b17_6-HCCC_b17_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190823yix_HCCC_b18_8-HCCC_b18_8.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190823yix_HCCC_b18_9-HCCC_b18_9.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190824yix_HCCC_b19_13-HCCC_b19_13.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190824yix_HCCC_b19_14-HCCC_b19_14.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\3\D20190827yix_HCCC_b21_7-HCCC_b21_7.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190818yix_HCCC_b14_5-HCCC_b14_5.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190827yix_HCCC_b21_9-HCCC_b21_9.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190828yix_HCCC_b22_10-HCCC_b22_10.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190828yix_HCCC_b22_11-HCCC_b22_11.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190828yix_HCCC_b22_7-HCCC_b22_7.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190828yix_HCCC_b22_9-HCCC_b22_9.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190829yix_HCCC_b23_10-HCCC_b23_10.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\4\D20190829yix_HCCC_b23_9-HCCC_b23_9.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190808yix_HCCC_b5_13-HCCC_b5_13.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190809yix_HCCC_b6_6-HCCC_b6_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190810yix_HCCC_b7_6-HCCC_b7_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190811yix_HCCC_b8_4-HCCC_b8_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190811yix_HCCC_b8_4_repA-HCCC_b8_4_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190813yix_HCCC_b10_2-HCCC_b10_2.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190813yix_HCCC_b10_2_repA-HCCC_b10_2_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190814yix_HCCC_b11_2-HCCC_b11_2.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190814yix_HCCC_b11_2_repA-HCCC_b11_2_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190815yix_HCCC_b12_11-HCCC_b12_11.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190818yix_HCCC_b14_3-HCCC_b14_3.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190822yix_HCCC_b17_10-HCCC_b17_10.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190822yix_HCCC_b17_4-HCCC_b17_4.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190822yix_HCCC_b17_4_repA-HCCC_b17_4_repA.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190823yix_HCCC_b18_7-HCCC_b18_7.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190824yix_HCCC_b19_12-HCCC_b19_12.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190827yix_HCCC_b21_6-HCCC_b21_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190828yix_HCCC_b22_6-HCCC_b22_6.mzML	Z:\members\yixiao\HCC_yixiao\HCCC\D20190828yix_HCCC_b22_8-HCCC_b22_8.mzML
P31947	83216.9	61323.2	85184.6	96172.2	70903.9	56282.5	74061.9	60507.5	114069	60025.3	115019	73110.4	65868.5	61103.2	48169.1	42993.2	146566	105704	72189.8	94837.8	60698.7	62639.5	56193.6	42916.9	35489.9	88374	55364.7	50157.9	70267.7	72212.2	90432.3	69763	60365.9	66230.9	111745	87708.4	102968	134513	76863.2	113124	81698.5	107886	94909.1	51669.8	59123.4	120935	89383.6	110615	87815.5	75787	55745.1	64828.5	81910.6	69311.3	72668.8	114171	72676.4
P31948	38773.2	20909.1	16603.6	20556.2	16579.5	25482.6	6351.66	9616.83	19587.5	33570	22980.6	9267.99	6062.06	4139.79	6122.85	7810.12	18547.5	18996.7	14013.1	14877	13277.7	8643.83	17067.4	5254.3	4663.71	13386.3	4390.32	16467.7	8429.73	2774.52	12445.2	27415.4	13840.2	15570.5	35487.2	22684.3	20828.2	14659.8	18809.2	17866.3	19403.8	11068.6	10542.7	14792.3	15634.5	18067.5	24183.8	8010.46	16057.9	8553.52	13305.1	7075.15	19744.4	10763.7	12493.9	15964.9	32454.1
P31949	3615.38	4791.05	11249.1	3581.17	1098.98	1649.16	2326.31	2755.05	965.868	2300.55	5030.29	2695.49	NA	NA	4286.49	4951.13	14838.5	13797.4	2586.32	5094.21	32497.5	NA	4938.3	NA	558.639	944.907	NA	4128.79	1331.66	2492.93	1092.36	7856.6	2000.93	2440.07	4136.73	12863.5	16225.7	1026.3	26340.1	70531.4	11124.1	19784.4	19795.8	6243.87	6345.18	22712.6	29256.7	24002.6	9765.44	11807.7	3409.23	2691.47	25662.2	93941	30400.4	31519	15278.1
P31997	NA	NA	1708.19	NA	NA	NA	NA	NA	NA	867.74	NA	2158.58	NA	NA	NA	NA	1531.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1933.85	NA	NA	NA	1468.6	2701.31	NA	5322.76	6996.5	NA	NA	NA	NA	1691.86	NA	1480.67	4103.3	2229.55	3074.17	5340.29	12987	NA	3357.46
P32119	23806.3	21241.1	38606.8	52891.2	25291.3	34914.7	43122.9	30068.1	104819	18182.2	51720.9	29646.1	15769.2	27082.1	28468.6	46378	35833.8	34175.6	38464.5	114151	81514.4	23946.2	19767.6	15995.8	43166.1	51315.9	37790.2	54609.4	40086.1	13697.4	29148.1	57328.8	17492.4	19410.2	44817.9	58118	45796.4	69274.4	25089.3	65851.1	5561.86	27576	45285.1	77603.8	61873.4	35496.2	39568.3	30402.9	24080.3	13561.9	11681.9	16977.8	12639	11975.3	14699.5	26933.9	52208.1
P32121	NA	6075.1	2468.24	788.403	NA	NA	NA	NA	NA	NA	NA	NA	624.095	NA	NA	2552.3	2435.61	NA	NA	1258.43	NA	NA	NA	NA	NA	NA	NA	443.813	NA	1773.48	NA	NA	NA	NA	NA	NA	1145.6	NA	1943.99	NA	NA	NA	NA	NA	NA	NA	2321.38	NA	NA	NA	NA	NA	NA	NA	8238.25	4146.61	NA
P32189	NA	NA	1793.83	2923.25	NA	NA	2544.97	1926.94	NA	NA	NA	NA	1424.53	NA	1286.61	1490.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	364.671	NA	NA	NA	NA	6800.66	NA	NA	1698.08	NA	3295.21	NA	NA	NA	NA	988.295	NA	NA	NA	NA	NA	1222.84	NA	NA	2245.86	1268.2	NA	NA	NA	NA	NA
P32239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2583.91	2302.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	729.212	NA	NA	NA	NA	NA	NA	NA	699.405	NA	NA	NA	NA	NA	NA	669.565	NA	NA	NA
P32297	NA	NA	NA	NA	NA	NA	NA	NA	NA	652.378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	752.877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P32322	1016.93	NA	NA	NA	NA	NA	NA	1611.2	NA	NA	1752.6	1412.38	NA	NA	NA	NA	412.663	946.307	NA	NA	348.174	2247.99	NA	NA	NA	NA	NA	920.615	NA	NA	NA	2620.14	NA	NA	678.172	858.874	2476.64	539.623	2380.92	NA	NA	546.183	527.138	731.38	825.62	1174.21	1605.63	NA	NA	NA	467.848	924.385	NA	2237.51	950.51	NA	NA
P32455	1854.72	NA	2848.51	2137.85	5215.14	NA	3134.86	3214.38	NA	1087.71	NA	684.467	2033.61	2076.46	286.675	NA	994.734	18362.8	1780.57	1768.89	1824.04	NA	NA	757.012	601.15	1298.7	1389.2	NA	889.668	NA	NA	1640.52	1961.5	2474.74	2013.15	2230.36	7380.79	4094.61	2548.42	2569.33	13881.2	3480.84	3244.75	2638.78	2336.95	7466.04	11033.8	607.781	NA	1694.18	NA	NA	31337.7	1398.33	1563.99	9001.53	2628.24
P32455;P32456	NA	NA	328.269	350.532	55.4309	NA	NA	NA	NA	NA	NA	NA	NA	NA	396.328	381.21	NA	3106.47	965.661	1335.12	536.726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	645.696	NA	165.799	182.982	817.219	2771.3	NA	424.338	NA	672.647	296.668	340.6	NA	NA	1848.34	1634.32	NA	NA	NA	NA	NA	832.659	1542.97	579.057	1484.7	1031.17
P32455;Q9H0R5	1854.72	NA	2848.51	2137.85	NA	NA	3134.86	3214.38	NA	NA	NA	NA	2033.61	2076.46	286.675	NA	994.734	18362.8	1780.57	1768.89	1824.04	NA	NA	NA	NA	NA	NA	NA	889.668	NA	NA	1640.52	NA	NA	2013.15	2230.36	7380.79	4094.61	2548.42	NA	13881.2	3480.84	3244.75	NA	NA	7466.04	11033.8	607.781	NA	1694.18	NA	NA	31337.7	1398.33	1563.99	9001.53	NA
P32456	NA	NA	1074.98	NA	NA	NA	NA	NA	NA	693.041	NA	1265.09	NA	NA	1397.55	1507.68	1533.98	7677.08	1792.48	2530.75	536.113	NA	NA	NA	NA	1001.07	NA	446.419	NA	NA	NA	NA	694.186	NA	2324.48	1792.7	6433.35	940.867	3314.86	1203.34	4253.67	2832.16	1656.89	442.731	NA	2793.19	2932.53	1336.03	1054.94	NA	2033.76	NA	6257.26	6945.91	2001.4	3939.84	3571.77
