"","C_T_13","C_T_14","C_T_15","C_T_31","C_T_32","C_T_40","C_T_44","C_T_49","C_T_52","C_T_55","C_T_58","C_T_6","H_T_1","H_T_10","H_T_11","H_T_12","H_T_16","H_T_17","H_T_18","H_T_19","H_T_2","H_T_20","H_T_22","H_T_23","H_T_24","H_T_25","H_T_26","H_T_27","H_T_28","H_T_29","H_T_3","H_T_30","H_T_33","H_T_35","H_T_36","H_T_37","H_T_38","H_T_39","H_T_4","H_T_41","H_T_42","H_T_43","H_T_45","H_T_46","H_T_47","H_T_48","H_T_50","H_T_51","H_T_54","H_T_56","H_T_57","H_T_7","H_T_8","fd","P_value","P_value_adjust"
"O60256|KPRB_HUMAN",232428,0,278373,13024.5,22362.1,457290,0,623130,331345,736165,613467,43150.5,237666,366105,263937,85808.4,186223.5,288094.5,619946.5,100887,601175,90091.7,287518,504425,1598895,343620,1742040,616473,20458.6,705486,1517453,359748,1024860,809029,2586180,719194,618924,1574350,525684,973779,585424.5,1845640,931732,486106,1869960,788730,912303,714475,827934,213697,1677770,155036,551750,1.43380289182919,0.000369758068719325,0.00473747912796277
"O60313|OPA1_HUMAN",852193,527632,812444,166286.5,120908,1717560,1001820,892436,640223,737956,865533,418823,1411770,793285,467485,429142,371146,1998345,1274385,425156,1221430,303354,2272860,1111010,237099,1696780,2606365,1024820,673646,1756510,2472250,2397280,2833680,760447,2340280,1166280,1332060,5269850,790850,512233,156667,2079700,4032580,924888,5376850,2346660,1794420,4454270,1536160,6829430,2937220,561401,2314260,1.33196750791233,0.000130132347846896,0.00230751254372714
"O60610|DIAP1_HUMAN",581768,835262,683122,708763.5,184161,1466130,619738,859243,852183,1890210,2162725,118621,1142080,1203670,456351,662542,312061.5,1403155,2227255,714802,1806560,491788,2781630,291078,1067931,1153290,2747050,1881530,970582,2168940,816281,1713720,3297300,2707650,7649780,2145420,1942940,3601600,1753640,1816660,2077425,2456460,3090230,260575,4403890,450444,1901225,3888220,2956830,5415090,3259640,567359,1544220,1.15147348835438,0.00047684413376265,0.0056787801384461
"O60656|UD19_HUMAN",0,0,46113.4,0,0,0,109067,0,13000.6,80883,0,0,995742,111182,250510,150422,0,1019107.5,414772,116629,591897,390837,233845,53277.8,446455,0,0,0,683042,904194,0,654197,2099680,1781180,2327000,4149140,1383880,45357.2,0,63177.5,45815.15,794884,5145330,143947.5,5883950,274717,1276495,3917080,9862870,19270400,1226290,0,0,6.29259488428887,0.00492410221936392,0.0292394191915791
"O60701|UGDH_HUMAN",5734950,15034700,13091500,4141510,2233210,803274,3279700,1708659,3504580,9599310,15779605,1895200,94976400,12877200,9318770,8946130,17736700,41454200,51433900,14211400,77876100,17967200,22201800,24316100,26850750,27589500,41842450,8301650,8025270,20530600,4847545,35549400,18294400,62351800,211847000,23480600,129049000,25275400,9113880,39727600,3038175,28634400,339615000,8515370,45066700,24547500,11728720,324505000,59262800,113331000,61796400,8536680,23234400,3.02617413895038,0.000419060986030472,0.0051531656500567
"O60704|TPST2_HUMAN",34881.9,0,0,0,0,0,0,107225,0,121700,127321,53145.9,0,0,85422.3,169167,0,0,247746.5,28051.1,0,27293.6,0,0,0,147598,58309.1,227979,0,605319,22528.7,178157,417721,618771,0,302788,0,293248,0,520239,0,453489,887666,61465.4,190226,107406,0,1233180,1483310,1163980,515839,62385.4,0,2.73549859910265,0.00103955337587714,0.00978430076210463
"O60749|SNX2_HUMAN",1719870,369255,2736800,1817079,222963,1858630,548553,711283.5,1111230,2140030,2024215,834409,1314150,1392570,1486550,1479350,3459050,1865585,1792455,2241970,2202730,440877,4808380,658697,623971,2773320,2306860,5938410,1332190,1748000,1530530,2108100,2508450,4429580,5085180,3214900,3689030,2582800,3592800,1819550,6578937,4959690,6036780,1464640,7384660,2309400,1488065,4320480,3567120,5421890,5833750,4061770,3706400,1.191159725519,2.67106773545646e-05,0.000921805580316936
"O60762|DPM1_HUMAN",649893,481783,1074260,166647,110863,2630610,410196,1343830,506221,2331340,2265540,178296,974918,1223420,1084650,647578,492704.5,1903409.5,3440655,898111,944577,204390,4061960,1779940,284938,2875300,3027100,2315080,567107,2692170,2437692,1055600,3222440,2277560,5120680,1227140,2514040,2361760,1094760,1380550,673310,2661000,3383070,1588610,1816830,1673910,2849655,6647610,2712000,7996880,3879190,377122,846762,1.10382140820288,0.00353284536394429,0.0229760226860774
"O60763|USO1_HUMAN",882200,980770,1729350,566101.5,678227,4640330,2593580,3197840,1713590,4187970,2564950,1035090,3325160,2701460,2856190,1913780,980976.5,3943785,3271880,947520,5400310,848763,2289310,2474510,1170794.5,5957100,3283440,1909090,1204070,4375510,3337525,2096660,4356300,5321670,6894850,4098360,5163060,9986890,1882810,4370370,2154205,10090100,8390260,1911050,9945410,5441560,4137635,8724060,9548070,9568560,9400380,1090710,3769790,1.09301484805965,0.000405877970040705,0.00507915421179603
"O60783|RT14_HUMAN",0,0,5585.79,0,0,219747,0,0,0,0,100720,0,129972,0,82886,113515,0,404086.5,314694.5,0,127033,0,182683,92539.4,0,434469,586514,32204.5,22444.2,442832,162257.65,303274,677312,179032,224541,122980,236300,108931,0,0,0,153853,399439,165248,274981,272107,104716.55,0,342515,323498,0,34952,54716.8,2.67337772534314,6.2848779109803e-05,0.00149417153002158
