"","C_T_13","C_T_14","C_T_15","C_T_31","C_T_32","C_T_40","C_T_44","C_T_49","C_T_52","C_T_55","C_T_58","C_T_6","H_T_1","H_T_10","H_T_11","H_T_12","H_T_16","H_T_17","H_T_18","H_T_19","H_T_2","H_T_20","H_T_22","H_T_23","H_T_24","H_T_25","H_T_26","H_T_27","H_T_28","H_T_29","H_T_3","H_T_30","H_T_33","H_T_35","H_T_36","H_T_37","H_T_38","H_T_39","H_T_4","H_T_41","H_T_42","H_T_43","H_T_45","H_T_46","H_T_47","H_T_48","H_T_50","H_T_51","H_T_54","H_T_56","H_T_57","H_T_7","H_T_8","fd","P_value","P_value_adjust"
"O76031|CLPX_HUMAN",78285.4,264022,251279,0,43249.5,865649,146037,147019.5,231569,103472,657701.5,842583,511531,672444,103384,414432,0,608586,475507,181280,528875,172075,530876,301858,2173.62,910211,1045013.5,298188,298067,716187,347629,952995,1444560,1228250,1623560,1011560,696160,1138660,309795,196726,0,707884,747234,105516.15,2075460,1071080,1175352,675765,709332,1856600,508183,303707,640196,1.13776125685465,0.00448422062864741,0.0275183673186307
"O76054|S14L2_HUMAN",531479,1372970,6299120,748378,461229,83862.1,1428860,128272.6,720941,1798670,683570,233498,1915040,8364910,236421,749224,1911225,233495.5,4937260,4129450,1703440,534744,33513500,9408660,1014694.5,786754,2393710,2424050,10179800,2106880,5150280,5740080,3976060,11205600,9903690,19253300,5137360,40562400,5313290,1157700,185835,24939100,11655800,1212310,8525790,580942,22305100,27108600,1980390,9707830,2784750,7433880,2707740,2.66987375836561,0.000146300462451047,0.00247784345243608
"O94760|DDAH1_HUMAN",2325530,755186,645141,202543,87024.3,7980680,2404040,106439.45,713846,3052830,708276.5,52264.7,106518,3585730,992421,374529,920136,3014645,4159480,987164,2231520,548044,5273030,3746160,215601,1857780,2231365,3358500,760134,2489160,969739,6555730,3127730,10422700,12511100,2915500,6096830,11345300,7077010,535489,236315.5,7761110,6731080,2849445,35594500,10050500,6261050,17682000,11326000,24912800,14074900,1535760,2294370,1.88211841347481,0.0018047808694047,0.0143200103840653
"O94826|TOM70_HUMAN",827202,662568,1578570,386606,204580,6543970,669763,1838985,2184060,1920470,3515190,619278,5186010,1605380,1504400,2487060,197820.3,4846890,4832125,733285,2842120,1228950,3650760,1520510,703286.5,3961790,7456710,2324570,1317940,5279800,7160055,2844970,7693650,5036640,11211100,4582160,5969310,2909950,1547360,3537880,323582,7165780,12975600,2253680,9244340,4862020,5525945,13077700,6564150,12326400,5067720,456317,3319810,1.38792733514674,0.000562357650589044,0.0063302033687718
"O94903|PLPHP_HUMAN",603064,68380.2,1096070,262137.5,106479,1881310,331414,942931,360733,1963400,773777.5,255866,1313860,2085440,307075,545004,348716,995809.5,587200,901652,1563530,117437,2140980,504181,261778,2060980,496684.5,882090,1325030,912931,450124,789770,1074240,3763960,2656490,2418540,1856200,2213100,1268820,732407,582528.5,4908300,3195960,614302,3689130,1112190,1020848.5,2171540,925651,2134580,1554210,963484,987763,0.984199598626455,0.00851686204298214,0.0435962818611661
"O94905|ERLN2_HUMAN",646970,897771,3184450,392194,264361,2481750,2933430,2401175,991391,2564480,1190996,472153,3668280,4050710,461994,634432,518018.5,1352647,1908015,1019160,2078480,316671,5618110,2240360,5682437,5968280,1525680,1807450,1913250,2094120,2514890,550067,3562410,3842990,5401320,6253280,2256370,2050980,1703940,1877870,3871070,7616040,6239800,1920065,5467590,1618870,2489020,2451280,1113110,2798450,7042200,2479880,1207610,0.921206997882598,0.0038156611524309,0.0242502266707465
"O94929|ABLM3_HUMAN",31049,0,0,0,0,0,0,0,0,0,31424.2,0,0,0,0,0,0,133299,0,13837.8,0,0,212036,0,0,396916,0,0,56582.1,105724,0,40143.8,50413.8,42810.8,0,131186,515646,0,157612,0,0,0,142622,0,0,8385.83,0,389490,156837,0,0,0,0,3.58052911817673,0.00490682606558814,0.029190840143661
"O94979|SC31A_HUMAN",2121260,1070080,2617830,997046,498380,3572440,2812730,825900.5,2046710,3652390,2183615,1763950,4451010,3128720,3607970,3441280,1069812.5,6485670,4881610,912516,4664710,912871,3625790,3087680,912034.5,6828250,3666395,1907580,2625340,4702180,3337095,5589550,7246160,5169940,7003730,3603950,5639220,4648190,1990080,1861710,1025795,8495880,6784930,3424775,9343870,5280530,4287020,8147430,4090600,9526870,3176490,1056980,6091540,1.10629661372291,1.46726395272336e-05,0.000672740522323662
"O95081|AGFG2_HUMAN",0,0,223022,0,0,95882.6,206616,0,619056,225971,351323,70978.1,0,364125,257308,138829,0,408047,82021.7,37771.3,120956,155546,441127,69423.1,0,518768,359851,300937,29868.9,763746,590949,189191,756718,1078700,860160,961477,304141,1955330,299553,0,0,2811570,1330090,523360,2347700,844280,1079930,3895530,1724140,4763340,1306420,223109,292607,2.39354593152898,0.000613696564612745,0.00671093398338877
"O95139|NDUB6_HUMAN",185090,627786,208635,0,472526,538841,256195,0,0,584121,363347,0,284339,4065520,0,383714,0,839587,2142205,0,942503,0,0,1475140,0,0,0,0,0,3871600,1086556,1677090,1437680,1872820,0,1314810,1578290,80876.2,639334,0,0,1646200,630335,0,1174560,473615,0,743390,140674,1150030,962031,294933,0,1.48285828179533,0.00600807056966462,0.0339851828145596
"O95154|ARK73_HUMAN",204331,6518090,12313400,227425.95,1392800,1145430,4469250,968924,697131,2800690,1854469.5,81506.3,7933700,29151800,92064.3,667016,5833020,7196180,8498765,11767500,3315970,873950,6160960,17872200,5363665,56985.5,430758,3075350,18498700,12846000,604412.5,9326230,39249900,25133000,15173200,27189900,2327910,20489400,980537,1028270,1146860,9472630,5345400,2055665,10171000,1266570,20565450,70701900,3703840,8847180,8960810,8256890,1288080,1.95531907247276,0.00143154885647795,0.012187151339167
"O95163|ELP1_HUMAN",8797.96,0,171695,70859.2,0,739047,156092,71204.55,235579,323367,402635,60926.8,663680,144933,798590,874945,81897.6,300952.9,841342,129718,298473,82223.2,395553,58172.9,228137,2480050,1802535,330008,105788,817641,1495665,0,270553,108167,324372,822164,791664,268155,1119000,877459,0,395296,2008140,208848,896553,1863410,234408.7,1163570,847043,1326020,2545370,0,143709,1.87854675502057,0.000178402593783516,0.002855926702652
"O95210|STBD1_HUMAN",227702,913155,9201690,8577.45,544805,0,391872,1428913.5,801825,1246380,835772,184323,1141780,16977900,987308,1442260,1276795,3590075,1507870,3558890,3423470,574461,3601870,8245810,470984,4935010,2494660,1612670,4450670,8509200,1186040,2880650,7804620,18138400,3008940,27270300,4994870,7992680,2211740,1692930,2149730,25149300,10679600,742610.5,16811400,4463210,15071750,25225500,11043000,6348510,8780540,2832040,3582020,2.3703346469003,0.000157119727806008,0.00259935962058444
"O95219|SNX4_HUMAN",331126,224739,447057,272321.5,218873,590159,194474,244160.5,357355,677466,571488.5,64229.5,257599,463975,317825,254452,83633.15,792098,1320555,49547.9,780839,235533,1300630,0,148948.5,1520270,1641745,1653640,201098,570533,665039,752258,544348,1469120,1451400,311344,711143,651733,1328250,361014,144091,696160,687814,337994.5,1282300,804250,275581.5,610590,1784140,1741540,981276,273662,969415,1.08657160991408,0.000227215315030173,0.00336281854436606
"O95236|APOL3_HUMAN",0,0,0,0,0,0,99373.7,0,167919,0,407700,0,0,0,74826.2,0,0,333645.5,159278,49792.2,320865,0,1111850,878539,0,238373,0,0,0,51222.2,173756,424117,1064730,771335,123982,391762,927648,569794,1152790,72444.2,0,1068400,1629160,10511.5,0,0,201356.5,227759,318869,1046690,417330,68835.6,0,2.58936710751846,0.000538093249385184,0.00614594407082473
"O95255|MRP6_HUMAN",0,0,604684,0,0,0,0,0,0,0,0,0,0,452105,0,138419,0,389469.5,154254.2,234312,30833,93539.5,1778350,295016,0,255654,100128.65,197287,716093,404298,104002,78046.1,656196,605192,466469,1184050,541520,831246,130033,0,0,1082070,805180,0,493326,522443,899218.5,1458320,11940.3,0,145551,413673,0,2.92292792904411,0.000271047789951763,0.00380712420940999
"O95298|NDUC2_HUMAN",0,0,0,53800.1,0,56621.4,0,0,0,0,0,0,0,244981,0,0,0,42795.4,598919.5,68253.7,163184,0,182115,76653.8,0,107702,0,0,141767,128912,137743,78665.5,695800,387651,0,564931,347620,0,0,0,0,0,0,81106.65,0,0,211151.5,0,74121.4,0,22543,0,107331,3.56463753032502,0.000903230767460432,0.00883580870049963
"O95340|PAPS2_HUMAN",81644.7,481822,1259000,200602,580170,5264.26,0,544028.8,318762,1120270,4463260,70848.2,3323480,1293690,368785,226743,571184,1342255,0,1045370,1430840,591525,2002770,1600840,344798.5,1834400,219006,1796870,1843710,1176580,164459,3073680,3533680,2011840,2792780,3496770,3297820,2345260,447585,1728330,224729.65,3319320,2560930,395423,7338070,354348,886987,10208800,1475090,10634600,12705100,1540850,1518960,1.63840740036341,0.00757436034630277,0.0400492743516619
"O95342|ABCBB_HUMAN",0,56796.3,630062,0,0,0,0,0,0,0,0,0,553539,758885,12997.9,0,0,574396.5,0,239514,0,0,933703,520115,0,285573,954136.5,33555.6,680685,74840.8,90976.75,64498.5,667862,655123,0,2294360,78533.1,1319150,0,0,0,1656170,0,0,434274,0,1215360,0,81457.6,644301,208511,401968,0,2.7174116489249,0.00187671701473554,0.0146552877342912
"O95363|SYFM_HUMAN",0,0,0,0,0,69334.9,0,0,0,0,64161.2,0,18402,133660,80199.2,14727.6,0,307088,458096.5,0,100449,67084.5,396428,299663,0,90323.4,395613,35047.1,40313.5,216283,385007.5,137104,0,0,610157,119931,127365,460886,0,0,0,352277,291979,88262.9,596731,60677.6,99966.85,165781,100738,61850.5,88223.5,0,239957,3.86378347577524,2.67507757556965e-06,0.000281497097665272
"O95396|MOCS3_HUMAN",123753,0,37410.9,0,0,147410,0,15475.8,0,0,0,0,107741,52835.8,0,15067.1,116753.05,19063.2,14962.6,69229.6,59739,0,423336,0,0,167927,185024.5,195593,0,94879.7,67071.25,100695,0,56435.4,209535,130705,510005,44919.9,13706.3,0,0,275892,78790.9,0,250494,71436.3,50270.2,391999,54087.5,0,0,0,192462,1.86055450726342,0.00593502203364479,0.0337797102075744
"O95479|G6PE_HUMAN",389917,3064660,5947810,271107.5,1917900,787185,423321,748274,421541,2599560,439370,113809,2930950,4058330,5220440,1041740,611678.5,4086260,4532730,1826710,1788830,204334,1571340,4220710,391280,8086910,7386940,2502670,3074690,1181160,2376665,2564230,4352700,5630430,1887290,6766950,7041120,3034360,1464520,2220250,818600,23876800,11720800,1276685,4573570,1482550,6122485,6433260,4854710,11389400,3386190,3495380,1459750,1.56360552174285,0.00140156450434983,0.011979550670335
"O95486|SC24A_HUMAN",6697.92,0,518704,0,0,653553,0,69539.25,420260,663398,884337,0,283090,692905,368844,1018510,104880,1478897,1280560,284234,833996,223692,2683560,666539,61907.315,3736490,944189,760117,674497,3057170,581937,1213100,3380740,1791350,4587890,1858510,1809300,2620720,446615,572013,115653.05,3104570,7203890,246105,4890700,1615400,1884280,3840930,3980770,6011380,3362180,43407.2,909820,2.77507043538846,2.1593807072901e-06,0.00025139407108077
"O95487|SC24B_HUMAN",124695,35808.5,391501,0,0,403060,0,157910.5,208225,130600,315160.5,200314,199803,30353.7,96571.2,153338,0,912888,278932.5,34668.8,122474,17197.5,75361.2,183059,71162.9,185543,187706,507389,148130,1052960,214649.65,500419,957630,304957,1194660,276033,553432,810361,0,819780,82929.5,420128,545174,276707.5,257661,1359870,1042056,375771,1049990,292456,841087,198700,45281.1,1.31102350803859,0.00169377861954749,0.0137104223945465
"O95497|VNN1_HUMAN",0,858096,312476,0,774350,0,0,321452.5,0,0,22670,0,160338,360744,6358040,2384590,213419.4,6313135,2153640,25021.3,15420700,15730600,473884,219504,121640,0,0,14204,1919640,1491550,41873.6,520917,7459800,561769,0,263294,3672190,0,417863,0,1259660.5,0,0,0,206960,0,0,4116680,6194360,2805460,0,0,0,3.37040242060283,0.00429843510685932,0.0266365453648718
"O95563|MPC2_HUMAN",440747,5027550,5258600,349207.5,1449750,1286320,364034,147111,718972,419644,185876,521123,3319980,5235900,469519,1478740,265953,9247170,6738665,1450610,2869660,2820450,5186230,2229450,159397,3582800,2860505,1290640,1382510,8505260,2061320,1195710,13212300,2957770,2123160,7919460,1427560,2270240,923743,229580,149090,2657460,4150940,1419820,8788420,1582240,330725,2584560,8681250,10475600,941314,1666000,4720020,1.35754518589867,0.0067568891246399,0.0370388311623087
"O95671|ASML_HUMAN",205250,0,326833,97251.3,0,1289800,0,0,203516,356837,140603.1,19507.1,726645,809407,266792,21520.4,50433.55,697528,221684.5,122116,138423,91309.1,1567420,340806,34984.65,130409,399887.5,419154,449928,351056,213562.5,655720,1019980,888954,547506,414094,575905,2217150,309846,528652,272660,1494740,2137760,892386,1879600,455986,1310665,1321440,304314,1664030,0,522860,660027,1.58876828790867,0.00346242705804574,0.0227020626001998
"O95721|SNP29_HUMAN",293302,614142,388965,338687,146590,609143,1091180,227888.1,1027690,1105380,1671770.5,221620,812527,1501670,783537,1021090,0,565546.5,1808525,127938,1619460,494326,1288790,1257180,22089.8,1733450,1302517.5,1635310,456674,2069150,954577,1312970,2351140,3100280,1870390,1620610,1005640,2150630,714731,575008,755861,1548020,1120710,482574.5,2134310,1251020,467768,2610470,3735610,3641690,301827,483726,1442090,1.03415069695305,0.00152092379574499,0.0127331781345474
"O95757|HS74L_HUMAN",504515,0,0,129228,0,1859200,0,195269,0,381419,411347,203709,2865690,736308,80148.6,468427,566870.7,2803845,2304345,44145.5,3229210,279579,633711,49581.3,783687.5,306741,1823194.5,339910,326395,2480590,687015.5,2678440,1173130,826437,9284920,871990,3243550,2482700,1902650,3503200,469716.5,1677950,3190930,269770.5,2723580,1107480,71237.45,2307390,6669350,1441900,1953750,291107,74195.2,2.4549106568512,8.98627511932102e-05,0.00185872020451331
"O95793|STAU1_HUMAN",354193,85253.7,289643,46739.4,20740.2,862554,247923,9421.505,485214,337592,1253725,0,134051,240403,394137,1347220,61467.9,993661,1017383.5,192665,1459410,207501,974680,494091,258266,2782120,2883805,2267070,218544,1392090,673078.5,863125,1140070,1621450,3319720,939601,2165420,1244510,709711,93683.2,0,1545110,2646380,612630.5,2856260,3023310,1022564.5,1830730,2150680,4754120,2883600,266549,1355800,2.01225908322746,1.07218760714736e-05,0.000570734489578131
"O95816|BAG2_HUMAN",334347,25997.9,260070,164441.5,141234,1323870,34154.5,97899.2,616310,540539,705998.5,103101,1490910,49162.3,1197770,798734,146596.5,1555265,3462545,111921,1115280,581397,49729.2,1092190,423835.5,1137010,2770270,629791,312631,646407,1973560,558938,1255230,1765850,3281040,915143,959112,1318910,924772,1368190,112436,3098530,3210520,738931,3244280,1169310,990835.5,843670,2333750,1950380,2692630,380880,1791040,1.87391473470421,6.09362665694056e-06,0.000427831423489234
"O95822|DCMC_HUMAN",155779,172664,1031110,0,0,385802,143114,76800.15,202895,39775.3,41279.3,0,941891,1376980,20442.1,143830,11825.9,705393,114897,252143,174457,0,794151,326906,75203.45,439434,563301,511816,736418,404218,244912.5,271901,594083,1061040,262628,3224680,271951,5249620,0,85374,398504,1643780,570224,241906,1393180,423662,1094870,1735500,624732,887727,228442,299889,364084,1.90427903307543,0.00395846498214587,0.0248624136207381
"O95831|AIFM1_HUMAN",7531330,5082300,12225200,1314879,3352230,20281100,5620560,346838.5,4018230,9358760,11620245,1674580,8652600,14201600,1764680,5691410,1819465,7705555,6463740,7889420,10191000,3191800,21309500,6252680,1500410,10152200,5327295,13734500,9529640,9450280,5965560,14878000,24506300,21626200,16372900,31381200,13499000,36076200,13816800,2115350,662796.5,39243100,35884300,3070035,28028400,9084480,14265950,22546500,10693600,44425900,20907200,9280680,9393690,1.02364120300602,0.00551188608508496,0.0318745916938382
"O95861|BPNT1_HUMAN",914119,348726,2136050,64946.3,58488.4,2675340,575453,335279.5,742689,1717800,1196028.5,873225,218260,869846,222536,215986,394657.5,2313375,736061,91425.8,1109180,182405,1593010,1168550,148428.5,1204030,2201200,988752,236473,3603250,644371,139175,6590080,4300330,7317100,4470560,1420270,6716290,908982,412875,498904,7078240,2469160,2134520,22302900,5088350,1729810,7639350,3891840,4394850,3842550,315381,829848,1.50210915493128,0.00882758416158103,0.0448648160991201
"O95870|ABHGA_HUMAN",115534,0,187934,0,0,1138320,0,392231,161977,376017,126556,0,0,131418,180308,216691,39420.2,574044.5,1242640.5,97605.8,354989,0,913225,732728,0,962568,432545,76333.1,143065,254986,588100,0,647697,785065,1194840,620608,586465,607569,551471,116745,167723.35,1370370,1830800,298168,2346330,593137,1039935,1994730,1466050,469991,1212240,0,615272,1.57623509983891,0.00337409809937069,0.022282238374342
"O95954|FTCD_HUMAN",209458,2115330,15010800,42685.6,1102600,310621,2173960,65079.65,171733,3632210,453805.5,0,3423470,23537100,160625,4777660,5097880,2567575,1458379.5,13638200,1785180,2181330,9496700,14527900,274393,3213990,262965.85,938949,15071300,15932500,1214468.5,501510,11907600,23064500,241997,34427200,10125300,1484730,1413840,1116870,340455.5,29597100,2180020,2386340,64406700,23183300,36362350,27343200,4060510,11609300,3821240,16968600,2701460,2.31119019930941,0.0011540669116817,0.0104928548244828
"O96000|NDUBA_HUMAN",528098,174065,1455590,184699,68371.7,4015680,2520220,713322,1693410,1633560,1232246,359550,1324440,1160300,605075,569059,79495.65,1561050,3316775,487130,2465270,261021,3214980,2605990,261137.5,1302910,1298257,1168610,1122590,3678020,2672095,1160400,4068660,4454100,6523450,3148960,6572050,6629960,1183530,2329970,694939,7763810,4391190,2080915,7214280,3649190,3222070,5946210,2911800,5003600,4602590,662244,2371270,1.21634544356881,0.00172963323120984,0.0138781446389199
"O96005|CLPT1_HUMAN",298252,112581,502404,0,87136.3,806502,81588.8,0,323029,114007,808577,217416,516049,700420,560324,909309,56169.3,2494250,1055420,222660,1090870,142709,1714490,736914,0,2143030,974973,1198840,667358,2228240,1355665,1300870,1762090,1493940,1520310,1987800,456033,3260780,993688,0,0,1308250,3916430,482537.5,2613650,1840040,770790,2613850,3890540,3718010,1687820,706780,591248,2.28177537129376,4.03806004608275e-07,0.000124795856199728
"O96007|MOC2B_HUMAN",286836,0,0,0,0,72509.5,0,0,0,275432,408417.5,0,0,0,0,65286.8,88437.45,0,436157,11806.1,12047.4,0,649853,124974,45470,340834,234709,0,28425.3,291267,322396,0,258720,1355670,2013120,478102,906337,283798,142480,165048,0,1257480,877281,149493,2571900,480513,1489706.5,2283720,541192,938869,269276,0,56226.8,2.42722487221825,0.00117973488448419,0.0105869040814145
"O96008|TOM40_HUMAN",879616,848164,910319,312166,43268.9,3685230,368622,2029645,1160210,1103510,3919750,724216,5065140,656635,1153290,4121370,154071,5774840,3690910,153242,3928050,1128380,2148780,1522490,159771.5,6508300,6172375,4225100,911483,3984240,9351955,2203550,7179120,1886850,4562410,977713,2848110,7473610,2073010,1609880,331904.5,2006720,5186170,1476938.5,5458780,6248520,1534300,7723000,8657220,12194700,3236810,446550,2134370,1.44078122198489,0.000300633565137269,0.00411464148105784
"O96033|MOC2A_HUMAN",0,0,0,0,0,0,0,101573,0,396050,405093,0,0,0,0,0,0,0,566716,0,0,0,448672,0,0,0,335344.5,0,62678,0,154395,0,0,1058110,1625720,596363,1161610,0,183066,0,0,805349,747060,0,1871450,252525,801647,1339530,664250,706319,393747,0,0,2.15899985286122,0.0052716490057916,0.0307904594796872
"P00167|CYB5_HUMAN",1582200,5767840,38681600,1747820,4728100,1674460,1996690,1514602.5,2993530,5028830,3019420,848232,6713410,79720600,1804430,7667180,2990000,20042450,13658690,22679800,8091440,2720900,58124000,15654200,3249225,12779100,15202250,29100000,45550600,42125900,19772050,33619500,48578200,63898700,31616400,158675000,41419200,72759500,31240600,5421630,1041012.5,119784000,56422800,6661450,120247000,33970700,64466200,96467900,45543600,120670000,40110500,37238300,27761600,2.80827253785111,3.31016677352157e-06,0.000305912448002626
"P00325|ADH1B_HUMAN",4082690,42210700,78725800,1724110,13607400,1604780,13956700,1801815,12354700,45057700,5962675,1581990,8672280,273563000,1457090,6568520,44855050,20800850,3237395,53848900,10600200,7622650,3984870,72306000,7672535,9043560,6770725,11493700,31960600,95333100,48892850,51261300,37253800,204048000,4549060,293126000,49091900,387163000,10572400,12617600,7386850,255499000,69532600,25951450,436981000,64204200,202196000,228971000,6703180,78450100,23231500,57187600,10570800,2.08829379228151,0.00229036999533276,0.0168021542857611
"P00352|AL1A1_HUMAN",6586400,11130000,78825700,2665350,16063400,6525600,16164900,4530110,10379900,28658100,9943680,4109550,51836300,113659000,19081200,22892800,42124250,33334750,113323750,41969800,272067000,19775600,111442000,50725500,19468400,84429200,109750950,1099090,40176000,72379100,54332700,74936300,132512000,239135000,192625000,207662000,501942000,129479000,56865900,22528000,8480455,163488000,607335000,29192950,196498000,61838800,169664500,440320000,131789000,354710000,65366900,115674000,66413500,2.97176633818316,7.71219086531654e-06,0.000482834905625539
"P00367|DHE3_HUMAN",8045220,15369800,68164800,2170785,9432600,11603300,8647810,3389115,10637500,8171170,8435685,3406800,3475040,102515000,9725410,166529000,6256635,71570900,11458500,28454700,12667800,17410500,30359800,56422900,4630030,84120200,112101900,4961110,57928600,78501000,56583650,16131700,63020400,31068500,17169100,89338600,14027300,28287000,9897120,6776720,2614805,42819600,29661200,17091700,62044400,227994000,64537350,40938500,29467600,47147400,17858800,26229900,45158800,1.77780377893381,0.000710536553113955,0.007549547777824
"P00374|DYR_HUMAN",0,0,0,0,0,326079,0,0,0,0,15461.1,0,0,0,0,0,0,180038.8,272154.4,199968,88657.5,0,1445640,0,0,212139,279807,822569,22956.8,0,105872,890721,0,770627,468782,0,762876,42339.1,0,0,0,0,0,0,0,0,108115,0,544448,142555,0,0,631970,2.77588272905068,0.00639893826398344,0.0355934009675127
"P00387|NB5R3_HUMAN",5525470,6549210,3939740,1814140,4643680,3894370,7492370,2650415,8844130,7302000,5399945,3405860,4987950,6689170,4179690,3338300,1634500,28538050,10714435,947127,3279600,5943520,2796440,8405440,2174125,8293500,5038195,3495990,2976760,7107170,9487485,13205600,19675700,6644840,10791800,6640470,2455220,11965500,1904090,10822800,2209675,10247900,10047300,13750845,11221800,6796000,23039000,12399300,15781300,16550800,7183790,1673470,4629630,0.693769100145544,0.00751258340326715,0.0398017922661448
"P00439|PH4H_HUMAN",15041.5,67678.3,5406790,0,69758.1,0,48909.6,0,78341.9,801385,152215,0,396655,2724030,24640.4,359725,141918.4,199711.75,67606.65,2063400,2206570,178505,3466930,191667,61260.85,820657,2197355,157018,15295400,2239980,2550330,256948,3089680,6075270,3482270,20704800,393454,6962500,252396,115013,44217.3,12401800,2196390,331569.5,3461060,1233310,4702320,5368490,406755,3359160,1492100,3396870,124858,2.34413047637161,0.00735659890521473,0.0393448948840428
"P00441|SODC_HUMAN",1674250,8925720,11193800,3366885,3726100,32353700,22275900,232727,13352600,35441100,17469000,1139110,1622890,62641700,3888230,2332480,4269585,13967835,20988700,8222510,9454850,3522100,24605800,25434100,262994,13650200,20711100,13975000,6300000,12054100,1065854.5,10048900,54583500,143229000,267072000,80630600,131826000,135520000,25642900,7904500,6362060,183348000,76383400,23232700,347122000,27229400,80573850,348607000,50001000,102917000,64238800,21390000,13225100,2.24616484653556,0.00166513738425203,0.0135813429091661
"P00480|OTC_HUMAN",0,5965180,37031200,0,1696590,435429,2422140,373526,1262750,5182500,2189772.5,28997.2,166496,39938300,91869.5,371341,4764580,22382000,11440650,29131800,10830200,2041620,147491000,14771200,3401570,66262000,14246005,384520,34930100,48269500,32531750,34031100,63624200,89482600,8598030,138872000,40267800,38812400,7410220,3563690,1286145,164260000,80718700,4215900,147678000,952178,64741000,254476000,48357400,213143000,31645000,20376500,35537500,3.35298320377217,7.56571515565368e-05,0.00166936064295166
"P00505|AATM_HUMAN",4890480,6875040,35727300,1715390,4170440,16737800,9623670,1458125,8424480,8476850,12715425,2058100,1386180,83579500,2866130,7037090,4850800,12902250,13709600,15548200,10999500,5134530,14880000,8020410,3429300,29149700,25659900,14016300,32783100,24759800,35373450,20275500,43301100,75353400,54757400,116461000,31257200,349458000,8538560,4736700,1420040,30334400,33690900,10259885,124266000,73765000,44346950,75299200,27477300,58854700,22323700,16851700,12760800,2.0362726499951,0.00352283797185792,0.0229574588237117
"P00533|EGFR_HUMAN",1050610,58495.1,179438,0,0,59293.2,0,25938.8,218011,105791,385311.5,183591,270184,82286.8,164011,185631,0,267919.5,1420095,129458,190832,0,2557920,417185,45244.95,1084880,184708,0,215028,760292,97673.05,470716,663076,400982,1657300,602585,661567,639806,423843,441166,0,436204,749554,45715.6,599698,444427,221331.5,2307900,738971,1303280,983777,321344,50430.4,1.52184899616843,0.00767584388044905,0.0403862638267233
"P00738|HPT_HUMAN",4555280,1539340,16541400,22836000,6012090,11475500,29828600,1380127,5286880,19129100,49381150,5445270,54903400,23725700,2900440,4782670,18308400,7427285,3369265,7241720,30953800,4212520,15858300,2565750,4269690,13522200,13924365,19174200,18352200,217334000,13423600,16536100,28626400,115573000,24638300,35224400,34470100,151397000,17093300,170064000,54914800,309252000,32391600,87566900,125493000,5239710,15289800,63034500,67488000,62860800,74775700,40569000,40730000,1.79040180661753,0.00195241888461816,0.0150362951953845
"P00918|CAH2_HUMAN",2150270,2790240,10723200,6157635,3293650,6278960,5941400,509889,5042950,11912500,3895915,2416440,4802630,14642400,1417430,1372640,9081330,6664145,4277510,17562000,12335300,14550900,13735700,1237840,1095740,23752300,3340695,2159210,10501500,19596700,4268675,2815270,31205700,31164200,44692600,26664600,17185900,8605180,1909840,1036140,11382055,11421800,4582920,3777285,12554200,6477460,17571800,126221000,18026600,17893700,5273720,11441400,2074800,1.47483807477514,0.00932100241468805,0.0466879817295107
"P00966|ASSY_HUMAN",946957,8217220,59085800,525085,5083840,2296540,1638560,1956425,7072190,9146500,3749860,3417650,21911900,51170100,1593880,7962520,2431875,10415850,2561550,24695900,5933290,7487160,99699100,3419300,2614155,9220790,33573850,15588900,60794800,24330500,17227700,29185700,41143400,58616200,130455000,190225000,41556600,21370300,15530100,2884660,2518390,19190000,23756300,9070125,21283400,20866200,27435550,96384400,28591600,70651700,23704900,77031300,13857300,1.95678808751793,0.00228545073482251,0.0167852497332102
"P01019|ANGT_HUMAN",4939690,0,530472,395864,0,920826,321864,5916605,833949,5472400,1949584.5,1420840,5404750,4070620,4226120,1306260,6788140,2243430,5091745,1132550,3549760,4430470,1936700,2915970,6206480,10082800,3317835,889462,1286710,10664800,2659270,1422150,10578400,6262380,7771620,1243520,1770550,6815030,3504430,7119340,16149600,2800950,3863200,7696840,17989900,8506050,2154810,5744520,12922900,14398400,4783790,279603,20713200,1.64565789733917,0.000227366139313736,0.00336281854436606
"P02649|APOE_HUMAN",3602090,4672070,5313180,3489665,3572580,3493680,2695930,27034000,4498810,3628930,5449540,1412940,56891600,6306050,11506800,25359100,14956400,19561200,16167100,5328300,46145100,19055200,51538800,16449800,76252750,30455800,27218650,20987800,6025820,26938700,6883185,45686300,50436500,22075700,17853600,10907700,12400800,44744600,24568400,17207800,65726600,9930890,24535300,13593600,56407400,56741100,9544310,41246000,67532700,113461000,24106700,4798380,21601800,2.39686272194633,3.21462751759841e-07,0.000121380553149789
"P02654|APOC1_HUMAN",1682520,2950170,8257220,1360555,3072590,1160300,2186370,13520730,3075990,4977320,3367135,1873930,18477800,5020020,1441400,2758460,5529710,10782910,4691310,4571500,6253330,3480480,27607000,10595100,3347135,6330090,2752425,1802630,3047730,16712900,3043950,9112650,13833800,10102500,18237100,12864500,13605600,27760400,5880360,6191510,14746500,22019100,27799900,7607595,25694000,5875420,8741995,20718800,11654900,24456500,1945530,1608700,1245790,1.4060375423642,0.000282554129741292,0.00392578995413281
