"","C_T_13","C_T_14","C_T_15","C_T_31","C_T_32","C_T_40","C_T_44","C_T_49","C_T_52","C_T_55","C_T_58","C_T_6","H_T_1","H_T_10","H_T_11","H_T_12","H_T_16","H_T_17","H_T_18","H_T_19","H_T_2","H_T_20","H_T_22","H_T_23","H_T_24","H_T_25","H_T_26","H_T_27","H_T_28","H_T_29","H_T_3","H_T_30","H_T_33","H_T_35","H_T_36","H_T_37","H_T_38","H_T_39","H_T_4","H_T_41","H_T_42","H_T_43","H_T_45","H_T_46","H_T_47","H_T_48","H_T_50","H_T_51","H_T_54","H_T_56","H_T_57","H_T_7","H_T_8","fd","P_value","P_value_adjust"
"A0A075B6Q5|HV364_HUMAN",1680370,1992080,3596830,3234320,4647780,3227380,7523430,2338100,4188690,6111740,2035041.5,4395340,1198060,2175460,0,1046200,1481370,4458315,584496,1987210,3117390,1113010,1257420,997637,1538500,276178,2659345,0,0,1793440,0,0,3538230,4462420,1582560,1149640,1298320,2444550,366381,6253300,961615.5,5565750,1603970,6107260,2099260,1767430,1756540,3209130,2351570,3871250,1987890,1256480,0,-0.953947109232932,0.00542945737710851,0.0315399881481082
"O94919|ENDD1_HUMAN",1069650,591578,529965,214372,0,260475,669252,283888.5,832270,689932,354625,205615,137224,121162,228404,0,600482.5,530380,88247.8,31090.5,176209,47788.9,228467,0,50558.3,0,0,27805.6,0,0,24960.85,67379.2,950119,75062.6,0,535263,0,96674.5,48039.5,222851,0,0,31251,1016437,302109,0,35744.65,122587,0,0,0,141842,60507.2,-1.69932486626243,0.00389347345018099,0.0245986280282596
"P06703|S10A6_HUMAN",12801900,55473800,1625590,20778350,15498800,2727190,22620300,1737367.5,46393600,7214410,31244550,12823000,3881970,1383180,894955,0,1976090,2823580,3235430,1603280,1972720,637022,179098,0,503161.5,456900,522545.5,770839,184452,1335430,699813.5,162239,9620820,2689370,395131,1383320,21349500,0,439293,3844610,4532335,0,0,8686450,0,614026,1049610,0,1494060,0,151263,1476620,1826570,-3.25282152011448,0.00569225692832157,0.0327406785151399
"P17301|ITA2_HUMAN",5896320,1943160,0,1180852.5,1171420,6571.05,737525,2157110,3569390,2195580,6168535,2079060,1140310,0,52891.4,0,154792,562010.5,1111650,0,136976,2125820,0,216312,289319.5,0,194714.5,0,0,946737,943419.5,0,1080490,0,0,0,0,153573,0,2610140,211117.7,877068,0,666409.5,0,1098080,620443,191293,245802,62504.5,171763,0,1483130,-2.41650964608192,0.0096203030077388,0.0476487075668791
"P40121|CAPG_HUMAN",6729380,4817580,935172,2532295,4025240,12204700,11049300,3344555,11524600,11964200,15537500,4884420,1832090,1497870,3197510,3317740,1365975,8841745,2872060,276872,2972540,1174250,2041620,469206,995552.5,5314800,349157.5,1301940,594035,4701600,3741815,151657,8012920,6856700,595899,2262680,788294,1481450,2622660,6516220,10303700,1041800,3407070,2668975,979629,1802170,1208025,1655490,3687830,4285320,4896460,2896470,818170,-1.40172787125257,0.00629009157819322,0.0351402069977565
"Q8IVF2|AHNK2_HUMAN",2366950,682501,0,1134405,0,0,2458820,0,1338860,2625550,3569350,398509,108024,0,0,0,56270.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281583,0,0,0,0,0,0,1178050,0,0,0,118357.55,0,0,0,276560,0,0,0,0,124971,-4.53782705190893,0.00830182844372568,0.042699869214964
"Q96TA1|NIBA2_HUMAN",2201580,687392,690469,1078369.5,786937,3562170,2331770,3773335,2260320,3194670,4232320,1109200,1247310,372353,612811,172873,837546,1450477.5,929991.5,179321,779101,343369,254221,313996,487322.5,765641,245334,530956,51193.2,693453,902008.5,202500,700515,1091420,1192930,360570,735379,671712,344874,6474320,927047.5,142471,1041670,1625995,490952,328305,425036.5,166339,1200710,852242,1548100,203866,1244100,-1.41742874095063,0.00452688611087315,0.0276021043478727
"Q99828|CIB1_HUMAN",0,554541,0,117470,0,277512,464803,437431.5,350661,510733,280284.5,231575,50904.9,0,18497.7,0,0,88581.5,171195,0,0,39038.5,0,0,0,0,0,0,0,402831,30446.5,0,180918,0,0,0,0,0,0,0,213154.5,0,113149,80713.8,0,0,0,0,158796,0,497427,0,39672.9,-2.40162043919604,0.00349598593395542,0.0228301407144505
"Q9UPQ0|LIMC1_HUMAN",534976,284222,198316,0,0,552904,0,228940,754116,0,126924,367927,0,97415.1,0,0,62334.1,154892.5,34190.8,0,191456,0,0,0,0,63411.9,0,0,0,0,0,0,0,20315.9,0,0,0,0,0,0,0,0,0,95839.2,0,0,0,0,0,22372.2,0,0,0,-3.8106724805468,0.00824628474374563,0.0425388369340137
